package	version	commands	purpose
samba	2:4.24.5+dfsg-1	eventlogadm,mvxattr,nmbd,oLschema2ldif,pdbedit,profiles,sharesec,smbd,smbstatus	SMB/CIFS file, print, and login server for Unix
samba-common-bin	2:4.24.5+dfsg-1	dbwrap_tool,net,nmblookup,samba-log-parser,samba-regedit,smbcontrol,smbpasswd,testparm,winexe	Samba common files used by both the server and the client
samdump2	3.0.0-8	samdump2	Dump Windows 2k/NT/XP password hashes
sbd	1.37-1kali6	sbd	Secure backdoor for Linux and Windows
scalpel	1.60+git20240110.6960eb2-2	scalpel	fast filesystem-independent file recovery
screen	5.0.2-1	screen	terminal multiplexer with VT100/ANSI terminal emulation
scrounge-ntfs	0.9-11	scrounge-ntfs	Data recovery program for NTFS filesystems
sendemail	1.56-5.2	sendEmail,sendemail	lightweight, command line SMTP email client
set	8.1.3+git20260604-0kali1	se-toolkit,setoolkit	Social-Engineer Toolkit
skipfish	2.10b-2kali8	skipfish	fully automated, active web application security reconnaissance tool
sleuthkit	4.14.0+dfsg-0kali1	blkcalc,blkcat,blkls,blkstat,fcat,ffind,fiwalk,fls,fsstat,hfind,icat,ifind,ils,img_cat,img_stat,istat,jcat,jls,jpeg_extract,mactime,mmcat,mmls,mmstat,pstat,sigfind,sorter,srch_strings,tsk_comparedir,tsk_gettimes,tsk_imageinfo,tsk_loaddb,tsk_recover,usnjls	tools for forensics analysis on volume and filesystem data
smbmap	1.10.7-1	smbmap	handy SMB enumeration tool
snmp	5.9.5.2+dfsg-2.1+b2	agentxtrap,encode_keychange,fixproc,snmp-bridge-mib,snmpbulkget,snmpbulkwalk,snmpcheck,snmpconf,snmpdelta,snmpdf,snmpget,snmpgetnext,snmpinform,snmpnetstat,snmpping,snmpps,snmpset,snmpstatus,snmptable,snmptest,snmptls,snmptranslate,snmptrap,snmpusm,snmpvacm,snmpwalk	SNMP (Simple Network Management Protocol) applications
snmpcheck	1.9-0kali2	snmp-check	SNMP service enumeration tool
snmpd	5.9.5.2+dfsg-2.1+b2	net-snmp-create-v3-user,snmpd	SNMP (Simple Network Management Protocol) agents
socat	1.8.1.3-2	filan,procan,socat,socat-broker.sh,socat-chain.sh,socat-mux.sh,socat1	multipurpose relay for bidirectional data transfer
spiderfoot	4.0-0kali5	spiderfoot,spiderfoot-cli	OSINT collection and reconnaissance tool
spike	2.9-1kali11	citrix,closed_source_web_server_fuzz,dceoversmb,dltest,do_post,generic_chunked,generic_listen_tcp,generic_send_tcp,generic_send_udp,generic_web_server_fuzz,generic_web_server_fuzz2,gopherd,halflife,line_send_tcp,msrpcfuzz,msrpcfuzz_udp,ntlm2,ntlm_brute,pmspike,post_fuzz,post_spike,quake,quakeserver,sendmsrpc,ss_spike,statd_spike,sunrpcfuzz,webfuzz,x11_spike	Network protocol fuzzer
spooftooph	0.5.2-1kali4	spooftooph	Automates spoofing or cloning Bluetooth devices
sqlmap	1.10.8-1	sqlmap,sqlmapapi	automatic SQL injection tool
ssldump	1.9-2	ssldump	SSLv3/TLS network protocol analyzer
sslh	2.3.1-1	sslh,sslh-ev,sslh-select	Applicative protocol multiplexer
sslscan	2.1.5-1	sslscan	Tests SSL/TLS enabled services to discover supported cipher suites
sslsplit	0.5.5-3	sslsplit	transparent and scalable SSL/TLS interception
sslyze	6.3.1-0kali3	sslyze	Fast and full-featured SSL scanner
statsprocessor	0.11+git20160316-5	sp32,sp64	word generator based on per-position Markov chains
stunnel4	3:5.80-1	stunnel4	Universal SSL tunnnel for network daemons - compatibility package
swaks	20240103.0-2	swaks	SMTP command-line test tool
tcpick	0.2.1-12	tcpick	TCP stream sniffer and connection tracker
tcpreplay	4.5.4-1	tcpbridge,tcpcapinfo,tcpliveplay,tcpprep,tcpreplay,tcpreplay-edit,tcprewrite	Tool to replay saved tcpdump files at arbitrary speeds
telnet	0.17+2.8-3	-	transitional dummy package for inetutils-telnet default switch
testdisk	7.2-0.2+b1	fidentify,photorec,qphotorec,testdisk	Partition scanner and disk recovery tool, and PhotoRec file recovery tool
tftp-hpa	5.4-2	tftp	HPA's tftp client
thc-ipv6	3.8-2	atk6-address6,atk6-alive6,atk6-connect6,atk6-connsplit6,atk6-covert_send6,atk6-covert_send6d,atk6-denial6,atk6-detect-new-ip6,atk6-detect_sniffer6,atk6-dnsdict6,atk6-dnsrevenum6,atk6-dnssecwalk,atk6-dos-new-ip6,atk6-dump_dhcp6,atk6-dump_router6,atk6-exploit6,atk6-extract_hosts6,atk6-extract_networks6,atk6-fake_advertise6,atk6-fake_dhcps6,atk6-fake_dns6d,atk6-fake_dnsupdate6,atk6-fake_mipv6,atk6-fake_mld26,atk6-fake_mld6,atk6-fake_mldrouter6,atk6-fake_pim6,atk6-fake_router26,atk6-fake_router6,atk6-fake_solicitate6,atk6-firewall6,atk6-flood_advertise6,atk6-flood_dhcpc6,atk6-flood_mld26,atk6-flood_mld6,atk6-flood_mldrouter6,atk6-flood_redir6,atk6-flood_router26,atk6-flood_router6,atk6-flood_rs6,atk6-flood_solicitate6,atk6-flood_unreach6,atk6-four2six,atk6-fragmentation6,atk6-fragrouter6,atk6-fuzz_dhcpc6,atk6-fuzz_dhcps6,atk6-fuzz_ip6,atk6-implementation6,atk6-implementation6d,atk6-inject_alive6,atk6-inverse_lookup6,atk6-kill_router6,atk6-ndpexhaust26,atk6-ndpexhaust6,atk6-node_query6,atk6-parasite6,atk6-passive_discovery6,atk6-randicmp6,atk6-redir6,atk6-redirsniff6,atk6-rsmurf6,atk6-sendpees6,atk6-sendpeesmp6,atk6-smurf6,atk6-thcping6,atk6-thcsyn6,atk6-toobig6,atk6-toobigsniff6,atk6-trace6	The Hacker Choice's IPv6 Attack Toolkit
