libdebconfclient0:amd64	0.283	ii 
libdecor-0-0:amd64	0.2.5-1+b1	ii 
libdeflate0:amd64	1.25-1	ii 
libdevmapper1.02.1:amd64	2:1.02.205-2+b2	ii 
libdigest-hmac-perl	1.05+dfsg-1	ii 
libdigest-perl-md5-perl	1.91-1	ii 
libdnnl3.6:amd64	3.12.1+ds-3	ii 
libdouble-conversion3:amd64	3.4.0-1+b1	ii 
libdrm-amdgpu1:amd64	2.4.134-3	ii 
libdrm-common	2.4.134-3	ii 
libdrm-intel1:amd64	2.4.134-3	ii 
libdrm2:amd64	2.4.134-3	ii 
libduktape207:amd64	2.7.0-2+b3	ii 
libdumbnet1:amd64	1.18.2-1	ii 
libdvdnav4:amd64	7.0.0-2+b1	ii 
libdvdread8t64:amd64	7.1.1-1	ii 
libdw1t64:amd64	0.195-1	ii 
libebur128-1:amd64	1.2.6-2+b2	ii 
libedit2:amd64	3.1-20260512-1	ii 
libegl-mesa0:amd64	26.1.6-1	ii 
libegl1:amd64	1.7.0-3+b1	ii 
libelf1t64:amd64	0.195-1	ii 
libencode-locale-perl	1.05-3	ii 
libepoxy0:amd64	1.5.10-2+b2	ii 
liberror-perl	0.17030-1	ii 
libev4t64:amd64	1:4.33-2.1+b3	ii 
libevdev2:amd64	1.13.6+dfsg-3	ii 
libevent-2.1-7t64:amd64	2.1.13-stable-1	ii 
libevent-core-2.1-7t64:amd64	2.1.13-stable-1	ii 
libevent-openssl-2.1-7t64:amd64	2.1.13-stable-1	ii 
libevent-pthreads-2.1-7t64:amd64	2.1.13-stable-1	ii 
libewf2:amd64	20140816-2+b2	ii 
libexiv2-28:amd64	0.28.8+dfsg-1	ii 
libexiv2-data	0.28.8+dfsg-1	ii 
libexpat1-dev:amd64	2.8.3-1	ii 
libexpat1:amd64	2.8.3-1	ii 
libext2fs2t64:amd64	1.47.4-1+b1	ii 
libfalcosecurity0t64:amd64	0.20.0-4.1+b1	ii 
libfbclient2:amd64	4.0.7.3271.ds6-1+b2	ii 
libffi8:amd64	3.7.1-2	ii 
libfftw3-single3:amd64	3.3.11-1	ii 
libfido2-1:amd64	1.17.0-2	ii 
libfile-listing-perl	6.16-1	ii 
libflac14:amd64	1.5.0+ds-5+b1	ii 
libflashrom1:amd64	1.6.0-3	ii 
libfontconfig1:amd64	2.17.1-5	ii 
libfreerdp3-3:amd64	3.31.0+dfsg-1	ii 
libfreetype6:amd64	2.14.3+dfsg-2	ii 
libfribidi0:amd64	1.0.16-5+b1	ii 
libfstrm0:amd64	0.6.1-1+b4	ii 
libftdi1-2:amd64	1.6~rc1-2	ii 
libfuse3-4:amd64	3.18.2-2	ii 
libgav1-2:amd64	0.20.0-2+b2	ii 
libgbm1:amd64	26.1.6-1	ii 
libgc1:amd64	1:8.2.12-1	ii 
libgcc-15-dev:amd64	15.3.0-2	ii 
libgcc-s1:amd64	16.2.0-1	ii 
libgcrypt20:amd64	1.12.2-1	ii 
libgdbm-compat4t64:amd64	1.26-1+b2	ii 
libgdbm6t64:amd64	1.26-1+b2	ii 
libgdk-pixbuf-2.0-0:amd64	2.44.7+dfsg-1	ii 
libgdk-pixbuf2.0-common	2.44.7+dfsg-1	ii 
libgeoip1t64:amd64	1.6.12-13	ii 
libgfortran5:amd64	16.2.0-1	ii 
libgif7:amd64	6.1.3-1	ii 
libgl1-mesa-dri:amd64	26.1.6-1	ii 
libgl1:amd64	1.7.0-3+b1	ii 
libglib2.0-0t64:amd64	2.88.3-2	ii 
libglvnd0:amd64	1.7.0-3+b1	ii 
libglx-mesa0:amd64	26.1.6-1	ii 
libglx0:amd64	1.7.0-3+b1	ii 
libglycin-2-0:amd64	2.1.5+ds-2	ii 
libgme0:amd64	0.6.5-1	ii 
libgmp10:amd64	2:6.3.0+dfsg-5+b2	ii 
libgnutls30t64:amd64	3.8.13-1	ii 
libgomp1:amd64	16.2.0-1	ii 
libgpg-error0:amd64	1.61-5	ii 
libgpm2:amd64	1.20.7-12+b2	ii 
libgprofng0:amd64	2.47-2	ii 
libgraphite2-3:amd64	1.3.15-2	ii 
libgrpc++1.51t64:amd64	1.51.1-9+b2	ii 
libgrpc29t64:amd64	1.51.1-9+b2	ii 
libgsm1:amd64	1.0.24-1	ii 
libgssapi-krb5-2:amd64	1.22.1-3	ii 
libgssrpc4t64:amd64	1.22.1-3	ii 
libgtk-3-0t64:amd64	3.24.52-1	ii 
libgtk-3-common	3.24.52-1	ii 
libgudev-1.0-0:amd64	238-7+b2	ii 
libharfbuzz-subset0:amd64	12.3.2-2+b2	ii 
libharfbuzz0b:amd64	12.3.2-2+b2	ii 
libhashkit2t64:amd64	1.1.4-1.2	ii 
libheif-plugin-dav1d:amd64	1.23.2-1	ii 
libheif-plugin-libde265:amd64	1.23.2-1	ii 
libheif1:amd64	1.23.2-1	ii 
libhogweed6t64:amd64	3.10.2-1+b1	ii 
libhtml-form-perl	6.13-1	ii 
libhtml-parser-perl:amd64	3.83-2+b1	ii 
libhtml-tagset-perl	3.24-1	ii 
libhtml-tree-perl	5.07-3	ii 
libhttp-cookies-perl	6.12-2	ii 
libhttp-date-perl	6.08-1	ii 
libhttp-dav-perl	0.50-1	ii 
libhttp-message-perl	7.04-1	ii 
libhttp-negotiate-perl	6.01-2	ii 
libhwasan0:amd64	16.2.0-1	ii 
libhwloc15:amd64	2.14.0-2	ii 
libhwy1t64:amd64	1.3.0-5.1	ii 
libi2c0:amd64	4.4-3+b1	ii 
libice6:amd64	2:1.1.1-1+b2	ii 
libicu78:amd64	78.3-2	ii 
libidn12:amd64	1.44-1	ii 
libidn2-0:amd64	2.3.8-5	ii 
libimage-exiftool-perl	13.55+dfsg-1	ii 
libimagequant0:amd64	4.4.1-1+b2	ii 
libinih1:amd64	61-1+b2	ii 
libinireader0:amd64	61-1+b2	ii 
libinput-bin	1.31.3-1	ii 
libinput10:amd64	1.31.3-1	ii 
libio-html-perl	1.004-3	ii 
libio-multiplex-perl	1.16-3	ii 
libio-socket-inet6-perl	2.73-1	ii 
libio-socket-ssl-perl	2.099-1	ii 
libipc-shareable-perl	1.13-1	ii 
libisl23:amd64	0.28-1	ii 
libitm1:amd64	16.2.0-1	ii 
libjack-jackd2-0:amd64	1.9.22~dfsg-6	ii 
libjansson4:amd64	2.15.1-1	ii 
libjaylink0:amd64	0.4.0-1+b2	ii 
libjbig0:amd64	2.1-6.1+b3	ii 
libjemalloc2:amd64	5.3.1-2	ii 
libjpeg-turbo-progs	1:3.1.3-4	ii 
libjpeg62-turbo:amd64	1:3.1.3-4	ii 
libjq1:amd64	1.8.2-1	ii 
libjs-jquery	3.7.1+dfsg+~3.5.33-1	ii 
libjs-skeleton	2.0.4-2	ii 
libjs-sphinxdoc	9.1.0-6	ii 
libjson-c5:amd64	0.19+ds-1	ii 
libjson-perl	4.10000-1	ii 
libjsoncpp26:amd64	1.9.8-2	ii 
libjudydebian1	1.0.5-7	ii 
libjxl0.11:amd64	0.11.2-5	ii 
libk5crypto3:amd64	1.22.1-3	ii 
libkadm5clnt-mit12:amd64	1.22.1-3	ii 
libkadm5srv-mit12:amd64	1.22.1-3	ii 
libkdb5-10t64:amd64	1.22.1-3	ii 
libkeyutils1:amd64	1.6.3-6+b2	ii 
libklibc:amd64	2.0.14-1+b2	ii 
libkmod2:amd64	34.2-2kali1	ii 
libkrb5-3:amd64	1.22.1-3	ii 
libkrb5-dev:amd64	1.22.1-3	ii 
libkrb5support0:amd64	1.22.1-3	ii 
liblapack3:amd64	3.12.1-8	ii 
liblcms2-2:amd64	2.19.1-1	ii 
libldap2:amd64	2.6.14+dfsg-1	ii 
